Index,True Label,Predicted Label,sentence,word_index
1,1,0,"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",2
2,1,0,"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",3
21,0,1,"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",10
24,1,0,"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",0
38,1,0,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",12
45,0,1,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",22
46,0,1,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",23
48,0,1,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",28
58,1,0,"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",15
73,0,1,"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",20
76,0,1,They are as much a part of Milan as La Scala or the Galleria Vittore Emmanuele .,5
87,1,0,Last month it was announced that Britain will get its first new-wave trams in 1991 .,8
89,1,0,Last month it was announced that Britain will get its first new-wave trams in 1991 .,11
91,1,0,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",0
92,1,0,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",2
94,1,0,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",8
96,1,0,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",10
97,1,0,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",12
98,1,0,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",14
99,1,0,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",16
106,1,0,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",28
124,0,1,"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",27
150,1,0,London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,2
152,0,1,London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,5
154,0,1,London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,7
160,1,0,"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",2
167,1,0,"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",15
176,1,0,"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",29
195,1,0,"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",1
196,1,0,"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",4
206,1,0,"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",20
